Entity,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Chile,72.316,77.534,79.044,78.852,84.92,89.63,96.89,100.038,96.203,95.158,85.696,90.101,93.442,98.932,102.236,105.567,108.321,99.122,101.828,106.542,108.036,112.878,118.427,132.224,145.878,153.679,172.182,190.472,201.417,211.697,228.157,242.101,276.942,278.139,290.081,306.695,308.756,319.559,317.723,333.892,346.954,370.481,378.516,375.18,367.422,369.03,401.205,410.131,414.198,406.241,415.351,435.776,438.836,456.619,467.922,446.333
China,1532.234,1665.278,1497.595,1512.597,1841.018,2357.391,2794.914,3012.931,3180.293,3279.293,3672.626,3866.906,4216.885,4624.286,4763.124,4856.288,4790.985,5002.7,5324.023,5712.492,6178.473,6475.315,6983.135,7500.793,7870.66,7972.524,8375.781,8820.224,9497.171,10081.186,10390.955,10932.132,10995.753,11010.809,11396.777,11792.545,12456.052,13569.202,15801.747,18485.282,21000.444,23023.881,25023.782,25957.174,27091.711,28969.493,31261.943,32513.607,33717.939,34673.24,35148.307,35730.98,36890.13,38215.716,39452.425,40404.443
Colombia,88.262,96.173,102.384,107.862,109.723,119.704,117.652,132.154,131.964,147.877,150.924,157.222,160.792,171.997,182.714,185.837,190.251,198.945,209.095,214.665,223.168,230.447,250.56,250.738,263.829,246.727,256.26,268.037,295.1,316.837,321.754,330.009,340.303,341.638,316.005,307.948,303.0,301.876,312.419,317.995,318.864,356.65,357.584,386.86,379.674,399.472,411.896,440.996,444.179,466.594,471.9,495.821,504.646,514.143,530.224,490.935
Cyprus,4.68,5.339,5.787,6.427,7.59,8.005,9.549,10.737,11.519,10.213,8.53,8.673,9.797,10.044,10.193,10.279,9.856,11.814,12.431,12.612,13.565,14.143,17.281,17.845,18.312,19.275,19.512,22.797,23.69,23.732,25.231,25.605,25.852,27.447,28.881,30.261,30.61,30.186,32.088,31.228,34.993,34.412,34.985,35.848,34.987,34.029,33.673,31.54,28.202,28.218,29.094,31.641,32.498,32.36,32.379,28.202
Czechia,468.378,471.908,464.6,484.629,505.318,526.565,553.485,556.619,559.971,565.845,588.974,605.47,625.296,634.075,640.698,620.406,615.856,608.705,609.669,629.995,631.067,637.85,652.174,655.032,634.964,545.784,496.719,481.996,478.03,465.312,484.957,501.68,481.064,466.989,447.625,473.138,483.781,484.957,512.559,525.232,517.193,527.019,521.142,510.942,489.785,510.143,498.298,495.204,485.331,474.499,465.314,459.021,478.915,477.461,471.76,427.106
Denmark,166.204,189.055,190.119,198.663,228.043,242.985,229.631,242.338,234.465,213.31,210.236,231.44,236.185,239.613,239.132,232.953,209.239,199.986,190.089,193.268,217.786,222.595,214.579,212.215,195.681,201.76,232.569,217.752,230.812,247.609,243.135,289.321,262.243,252.734,244.954,235.215,235.791,235.041,253.085,239.085,230.598,254.184,240.822,231.68,217.782,228.662,215.706,199.434,208.333,201.261,194.153,195.859,195.828,193.687,188.006,163.998
Eastern Africa,102.632,112.644,115.966,120.773,126.383,142.847,153.173,160.621,169.419,175.644,171.333,183.722,186.304,181.497,187.239,187.511,185.031,182.463,183.648,182.592,189.17,199.066,199.839,216.259,219.156,246.806,235.053,230.788,245.871,247.427,252.003,253.423,263.43,280.602,286.552,290.079,312.049,319.692,315.72,341.131,352.577,364.951,383.621,380.599,401.309,434.552,456.138,461.095,504.676,551.448,576.534,564.828,598.373,632.278,643.182,588.615
Ecuador,8.612,9.061,9.803,11.583,12.304,14.7,16.153,16.879,18.074,21.098,21.346,23.516,27.993,29.242,30.471,38.662,42.915,47.152,46.03,50.991,60.381,63.187,65.046,75.206,77.56,80.085,88.523,88.083,91.189,99.142,93.889,106.772,119.044,119.669,108.933,102.749,104.203,102.756,104.464,112.739,119.454,126.318,132.561,140.957,138.051,153.487,162.506,171.586,177.342,186.269,185.467,184.395,190.916,201.729,206.74,179.213
Egypt,91.365,96.136,82.232,88.58,72.66,90.591,93.086,103.365,97.649,110.941,123.071,147.19,159.652,168.574,184.36,209.906,239.265,267.118,289.053,315.387,327.21,334.709,355.023,360.295,379.768,389.54,394.656,390.87,391.104,411.305,435.815,459.219,478.391,498.138,534.478,565.978,590.716,605.732,644.313,651.985,698.74,729.498,774.047,816.941,857.264,900.592,917.493,963.867,957.844,956.099,977.035,1026.29,1055.171,1070.441,1072.796,1013.053
Europe,12356.933,12728.607,13103.817,13979.717,14996.056,15971.276,16402.703,17186.626,18176.079,17924.362,17743.075,18754.054,19066.037,19796.718,20534.973,20021.934,19503.956,19136.899,19311.881,19812.204,23691.903,24091.746,24579.27,24837.124,24745.636,25002.978,24691.666,23880.309,23469.88,22976.888,23449.383,24023.946,23947.892,24152.686,24005.576,24282.834,24546.688,24447.881,24883.851,25241.471,25371.446,25584.41,25350.553,25212.041,23723.005,24591.817,24029.003,23938.298,23691.017,22779.437,22978.371,23281.687,23510.985,23537.779,23182.805,21429.911
